"omega","psi","vx","vy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.3212939e-19,-0.00064025378,-0.0045008381,3.9731857e-06,1,0.153,0.5,0.153,0
1.4349159e-19,-0.0006447042,-0.0045063946,3.1483798e-06,1,0.154,0.5,0.154,0
1.5485379e-19,-0.00064915461,-0.0045119511,2.3235738e-06,1,0.155,0.5,0.155,0
1.6621598e-19,-0.00065360502,-0.0045175075,1.4987679e-06,1,0.156,0.5,0.156,0
1.7757818e-19,-0.00065805543,-0.004523064,6.7396198e-07,1,0.15700001,0.5,0.15700001,0
1.8894037e-19,-0.00066250584,-0.0045286205,-1.5084395e-07,1,0.15800001,0.5,0.15800001,0
2.003024e-19,-0.00066695619,-0.0045341769,-9.7563759e-07,1,0.15899999,0.5,0.15899999,0
2.116646e-19,-0.0006714066,-0.0045397334,-1.8004435e-06,1,0.16,0.5,0.16,0
2.2302679e-19,-0.00067585701,-0.0045452898,-2.6252494e-06,1,0.161,0.5,0.161,0
2.3438899e-19,-0.00068030742,-0.0045508463,-3.4500554e-06,1,0.162,0.5,0.162,0
2.4575119e-19,-0.00068475784,-0.0045564028,-4.2748613e-06,1,0.163,0.5,0.163,0
2.5711338e-19,-0.00068920825,-0.0045619593,-5.0996672e-06,1,0.164,0.5,0.164,0
2.0530438e-19,-0.00069382182,-0.0045685807,-5.3483241e-06,1,0.16500001,0.5,0.16500001,0
1.2679996e-19,-0.00069850428,-0.0045756521,-5.3534963e-06,1,0.16599999,0.5,0.16599999,0
4.8294377e-20,-0.00070318681,-0.0045827235,-5.3586687e-06,1,0.167,0.5,0.167,0
-3.021121e-20,-0.00070786934,-0.004589795,-5.363841e-06,1,0.168,0.5,0.168,0
-1.087168e-19,-0.00071255187,-0.0045968665,-5.3690133e-06,1,0.169,0.5,0.169,0
-1.8722238e-19,-0.00071723439,-0.0046039379,-5.3741856e-06,1,0.17,0.5,0.17,0
-2.6572797e-19,-0.00072191692,-0.0046110094,-5.3793579e-06,1,0.171,0.5,0.171,0
-3.4423356e-19,-0.00072659945,-0.0046180809,-5.3845302e-06,1,0.17200001,0.5,0.17200001,0
-4.2273798e-19,-0.00073128191,-0.0046251523,-5.3897025e-06,1,0.17299999,0.5,0.17299999,0
-5.0124356e-19,-0.00073596444,-0.0046322237,-5.3948748e-06,1,0.17399999,0.5,0.17399999,0
-5.7974915e-19,-0.00074064697,-0.0046392952,-5.4000471e-06,1,0.175,0.5,0.175,0
-6.5825474e-19,-0.00074532949,-0.0046463667,-5.4052194e-06,1,0.176,0.5,0.176,0
-7.3676032e-19,-0.00075001202,-0.0046534382,-5.4103917e-06,1,0.177,0.5,0.177,0
-8.1526591e-19,-0.00075469455,-0.0046605096,-5.415564e-06,1,0.178,0.5,0.178,0
-8.937715e-19,-0.00075937708,-0.0046675811,-5.4207363e-06,1,0.17900001,0.5,0.17900001,0
-9.7227708e-19,-0.00076405961,-0.0046746526,-5.4259087e-06,1,0.18000001,0.5,0.18000001,0
-1.0507815e-18,-0.00076874206,-0.0046817239,-5.4310809e-06,1,0.18099999,0.5,0.18099999,0
-1.1292871e-18,-0.00077342459,-0.0046887954,-5.4362532e-06,1,0.182,0.5,0.182,0
-1.2077927e-18,-0.00077810712,-0.0046958669,-5.4414255e-06,1,0.183,0.5,0.183,0
-1.2862983e-18,-0.00078278965,-0.0047029384,-5.4465978e-06,1,0.184,0.5,0.184,0
